Date,Portfolio Value
2023-03-27,38897000.00000001
2023-03-28,39183000.00000001
2023-03-28,39183000.00000001
2023-03-28,39183000.00000001
2023-03-29,38665000.00000001
2023-03-29,38104000.00000001
2023-03-30,39487000.00000001
2023-03-30,39487000.00000001
2023-03-30,39487000.00000001
2023-03-30,39487000.00000001
2023-03-31,39176000.00000001
2023-03-31,39176000.00000001
2023-03-31,39176000.00000001
2023-03-31,39176000.00000001
2023-03-31,39459000.00000001
2023-04-04,37584000.00000001
2023-04-04,37584000.00000001
2023-04-04,37390000.00000001
2023-04-04,37390000.00000001
2023-04-04,37393000.00000001
2023-04-06,36274000.00000001
2023-04-06,36274000.00000001
2023-04-06,36274000.00000001
2023-04-06,36274000.00000001
2023-04-06,36274000.00000001
2023-04-06,36274000.00000001
2023-04-06,36274000.00000001
2023-04-06,36274000.00000001
2023-04-07,36483000.00000001
2023-04-07,36483000.00000001
2023-04-07,36483000.00000001
2023-04-07,36483000.00000001
2023-04-07,36626000.00000001
2023-04-10,36008000.00000001
2023-04-10,36008000.00000001
2023-04-11,36414000.00000001
2023-04-11,36414000.00000001
2023-04-11,36414000.00000001
2023-04-11,36414000.00000001
2023-04-11,36697000.00000001
2023-04-12,37173000.00000001
2023-04-12,37173000.00000001
2023-04-12,37173000.00000001
2023-04-13,36545000.00000001
2023-04-13,36545000.00000001
2023-04-14,36588000.00000001
2023-04-14,36601000.00000001
2023-04-14,36601000.00000001
2023-04-14,36407000.00000001
2023-04-14,36407000.00000001
2023-04-14,36407000.00000001
2023-04-17,37220000.00000001
2023-04-17,37220000.00000001
2023-04-17,37220000.00000001
2023-04-17,37220000.00000001
2023-04-17,37220000.00000001
2023-04-17,37056000.00000001
2023-04-18,37089000.00000001
2023-04-18,37172000.00000001
2023-04-19,37028000.00000001
2023-04-20,37851000.00000001
2023-04-20,37851000.00000001
2023-04-20,37851000.00000001
2023-04-20,37851000.00000001
2023-04-20,37851000.00000001
2023-04-20,37851000.00000001
2023-04-20,37851000.00000001
2023-04-20,37904000.00000001
2023-04-20,37904000.00000001
2023-04-20,37904000.00000001
2023-04-21,38487000.0
2023-04-24,38669000.0
2023-04-24,38669000.0
2023-04-24,38669000.0
2023-04-24,38669000.0
2023-04-25,37050000.0
2023-04-26,38313000.0
2023-04-26,38313000.0
2023-04-26,38366000.0
2023-04-27,38455000.0
2023-04-27,38455000.0
2023-04-27,38191000.0
2023-04-27,38191000.0
2023-04-27,38191000.0
2023-04-27,38194000.0
2023-04-28,38397000.0
2023-04-28,38397000.0
2023-04-28,38397000.0
2023-04-28,38500000.0
2023-05-04,38456000.0
2023-05-08,37374000.0
2023-05-08,37657000.0
2023-05-08,37657000.0
2023-05-09,37733000.0
2023-05-09,37599000.0
2023-05-09,37599000.0
2023-05-09,37602000.0
2023-05-10,37675000.0
2023-05-10,37675000.0
2023-05-10,37938000.0
2023-05-10,37938000.0
2023-05-10,37938000.0
2023-05-11,38361000.0
2023-05-11,38361000.0
2023-05-11,38361000.0
2023-05-11,38361000.0
2023-05-11,38361000.0
2023-05-11,38361000.0
2023-05-11,37903000.0
2023-05-12,37939000.0
2023-05-12,37939000.0
2023-05-12,37939000.0
2023-05-12,38102000.0
2023-05-12,38102000.0
2023-05-15,38871000.0
2023-05-15,38871000.0
2023-05-15,38871000.0
2023-05-15,38871000.0
2023-05-16,38877000.0
2023-05-16,38877000.0
2023-05-16,38877000.0
2023-05-16,38877000.0
2023-05-16,38877000.0
2023-05-16,38877000.0
