SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit,score
287,5,35,18,35,55,21,1.5,0.5,1.5,1.0,15,55,0.7566462065116327,-0.1661326151487152,9766999.99999997,0.6735798989372751
1502,12,35,18,35,70,14,4.0,1.0,2.0,1.4,10,45,0.7472009813738625,-0.1506774613029068,8666000.000000007,0.6718622507224091
1620,5,25,14,45,55,10,5.0,2.0,1.5,0.8,15,55,0.7705059217839562,-0.1976858795800298,11706999.999999978,0.6716629819939413
2458,10,40,10,35,50,21,4.0,1.0,2.0,1.4,15,50,0.7619917547054099,-0.1820526622706677,9476999.999999993,0.670965423570076
2395,8,35,18,45,70,10,3.5,2.0,1.0,1.4,15,50,0.7356464461974827,-0.1318165554690293,7960999.999999993,0.669738168462968
419,15,20,10,35,60,21,1.5,0.5,1.5,1.0,10,55,0.7322868236669275,-0.1260088165479823,9583000.0,0.6692824153929364
1435,15,35,10,40,70,10,2.0,1.0,2.0,0.8,15,45,0.7582050138338132,-0.178192617734408,10419000.00000003,0.6691087049666092
2282,15,35,10,35,50,14,2.5,1.0,1.5,1.0,10,50,0.7618124281753065,-0.1867324867429531,9891999.999999983,0.6684461848038299
230,8,25,18,25,65,14,1.5,2.0,1.5,1.4,5,55,0.7462202516036173,-0.1564818997225269,7074000.0,0.6679793017423539
653,15,25,18,30,65,10,5.0,1.5,2.0,1.4,10,55,0.7620755149549,-0.1890045686171145,8450000.0,0.6675732306463428
1262,15,25,10,40,70,21,2.5,2.0,1.5,0.8,5,50,0.7592422879135258,-0.185111617312073,10262000.00000003,0.6666864792574893
2346,15,40,10,35,65,14,1.5,0.5,1.5,0.8,5,55,0.7482252723575721,-0.1632575561424402,9276000.000000022,0.666596494286352
983,5,25,10,30,65,21,1.5,0.5,1.5,0.8,15,55,0.7560394596004437,-0.1800077956131961,10093999.999999983,0.6660355617938457
897,8,35,18,25,65,14,5.0,2.0,1.0,1.4,5,50,0.748748773863201,-0.1666918380116075,7975000.0,0.6654028548573973
434,10,25,14,30,55,21,4.0,1.5,1.5,1.4,5,50,0.7743979634325256,-0.2186672408224782,9659999.999999993,0.6650643430212866
555,10,35,14,30,50,14,2.0,2.0,1.5,1.4,20,55,0.7532821224023128,-0.1764406704701251,8655999.999999993,0.6650617871672503
1757,12,35,18,45,60,10,2.0,2.0,2.0,1.2,5,50,0.7654018825268003,-0.2014627506171698,10871999.999999978,0.6646705072182154
453,15,30,18,35,70,10,1.5,1.0,1.0,1.4,5,55,0.7205418652310706,-0.1119090486112519,6953999.999999993,0.6645873409254446
2438,5,30,14,30,65,10,4.0,0.5,2.0,1.4,5,45,0.7521641629601825,-0.1774366537069312,8645999.999999993,0.6634458361067169
335,5,20,18,40,55,10,4.0,0.5,2.0,1.0,20,50,0.7441599552373459,-0.1622261123828949,10116999.999999978,0.6630468990458984
1646,5,25,18,45,55,10,2.5,0.5,1.0,0.8,10,45,0.7651088224682384,-0.2041877744005402,11783999.99999997,0.6630149352679683
1535,12,20,10,45,55,10,3.0,1.0,2.0,0.8,20,55,0.7661477467735434,-0.206361714395541,10987000.0,0.6629668895757729
1936,5,25,18,35,70,21,2.5,1.5,2.0,1.4,20,45,0.719476523146342,-0.1165936880370124,7472000.000000007,0.6611796791278358
1311,5,25,18,25,55,21,4.5,1.5,1.5,1.0,15,55,0.7624519578513311,-0.2034134821811936,10137999.999999993,0.6607452167607344
1436,15,30,10,40,55,10,3.5,2.0,1.5,0.8,15,50,0.7494322391694574,-0.181720718306084,10356999.999999993,0.6585718800164154
86,15,20,18,45,50,21,2.0,0.5,1.0,1.0,15,45,0.7538389540331827,-0.1911455043166984,10511000.0,0.6582662018748335
398,8,25,10,45,60,14,2.5,1.0,2.0,0.8,5,45,0.7348173728464339,-0.1553310745806668,10656999.999999983,0.6571518355561005
994,5,30,10,25,60,10,4.0,0.5,2.0,1.0,20,55,0.7335516496840574,-0.1535422181832553,9682999.99999997,0.6567805405924297
539,10,20,10,35,55,14,4.5,2.0,2.0,0.8,20,45,0.7178199138491965,-0.1233352182984617,10000999.999999983,0.6561523046999657
2344,15,25,14,30,55,14,1.5,2.0,2.0,0.8,10,45,0.7323395272842536,-0.1539099727705921,9653999.999999993,0.6553845408989575
465,15,25,18,40,55,21,2.5,1.5,1.5,1.0,15,50,0.7315698311485042,-0.1525810554190841,9266000.0,0.6552793034389621
846,8,20,14,45,60,14,5.0,0.5,1.5,0.8,5,50,0.7374410877247719,-0.167517231563752,10993999.999999983,0.6536824719428959
769,5,30,14,30,70,10,4.0,0.5,2.0,1.4,20,50,0.7230554528772111,-0.1388054503504417,8014000.000000007,0.6536527277019902
1768,8,40,18,40,65,21,2.0,2.0,2.0,1.4,15,45,0.7350707338638268,-0.1639237522171578,8489999.999999985,0.653108857755248
787,15,30,10,40,70,21,1.5,1.5,1.5,1.0,15,45,0.7308487610247593,-0.1563743434664967,9255000.000000017,0.6526615892915109
1213,15,40,18,40,65,10,3.5,1.0,2.0,1.2,5,50,0.7444831963445427,-0.1844110054775544,9380000.0,0.6522776936057655
1267,10,20,10,40,55,21,2.5,0.5,1.0,0.8,20,55,0.7288943271481653,-0.1532439133915151,10503999.999999983,0.6522723704524077
1684,8,20,10,35,55,14,2.5,1.5,1.5,0.8,15,45,0.7155267484915077,-0.1275554488540881,9856999.99999997,0.6517490240644637
4,15,25,14,45,55,14,3.5,0.5,2.0,1.0,10,50,0.7336206959808245,-0.167933685521625,10189000.0,0.649653853220012
808,5,20,18,45,55,14,3.0,0.5,1.0,0.8,5,55,0.7209721140155436,-0.1457057897498686,10898999.999999978,0.6481192191406093
