SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit
635,5,30,10,40,60,14,3.0,1.0,1.0,1.2,10,50,2.107648767716146,-0.12225083040154076,33022000.0
636,5,30,10,40,60,14,3.0,1.0,1.0,1.2,15,50,1.9761012217888643,-0.15373907663753755,29966000.0
637,5,30,10,40,60,14,3.0,1.0,1.5,1.0,10,50,0.8358961071630073,-0.20578758337609016,11970000.000000015
638,5,30,10,40,60,14,3.0,1.0,1.5,1.0,15,50,0.8267735935627721,-0.18547641073080465,11611000.000000022
639,5,30,10,40,60,14,3.0,1.0,1.5,1.2,10,50,1.3885276103319248,-0.19530193332802914,19846000.0
640,5,30,10,40,60,14,3.0,1.0,1.5,1.2,15,50,1.3008775773719348,-0.1938578520211172,17889000.000000015
641,5,30,10,45,55,10,2.0,0.5,1.0,1.0,10,50,1.0962937139852384,-0.200493065020444,16796000.000000015
642,5,30,10,45,55,10,2.0,0.5,1.0,1.0,15,50,1.1034042838265812,-0.16507911973259642,16350000.000000022
643,5,30,10,45,55,10,2.0,0.5,1.0,1.2,10,50,2.003296048942279,-0.1744651619234542,30961000.0
644,5,30,10,45,55,10,2.0,0.5,1.0,1.2,15,50,1.894531780488354,-0.19056125388959302,29364000.0
645,5,30,10,45,55,10,2.0,0.5,1.5,1.0,10,50,0.8788529884850236,-0.22719486502982914,12773000.000000015
646,5,30,10,45,55,10,2.0,0.5,1.5,1.0,15,50,0.7308543266612716,-0.19394310186601393,10005000.000000022
647,5,30,10,45,55,10,2.0,0.5,1.5,1.2,10,50,1.5616634003783838,-0.2028128183029067,23354000.000000007
648,5,30,10,45,55,10,2.0,0.5,1.5,1.2,15,50,1.3734303427552297,-0.21508850250626552,20358000.000000015
649,5,30,10,45,55,10,2.0,1.0,1.0,1.0,10,50,1.1804933900956969,-0.18606832149413347,18260000.000000015
650,5,30,10,45,55,10,2.0,1.0,1.0,1.0,15,50,1.0928849445211077,-0.16578530898984817,16199000.000000022
651,5,30,10,45,55,10,2.0,1.0,1.0,1.2,10,50,2.0245133976208978,-0.1733495576930504,31480000.0
652,5,30,10,45,55,10,2.0,1.0,1.0,1.2,15,50,1.8305224677577387,-0.19317786958032493,28372000.0
653,5,30,10,45,55,10,2.0,1.0,1.5,1.0,10,50,0.8850519091279745,-0.22420517669306214,12877000.000000015
654,5,30,10,45,55,10,2.0,1.0,1.5,1.0,15,50,0.7451326250561545,-0.18996963388781712,10229000.000000022
655,5,30,10,45,55,10,2.0,1.0,1.5,1.2,10,50,1.5644815956462794,-0.20258662857813678,23381000.000000007
656,5,30,10,45,55,10,2.0,1.0,1.5,1.2,15,50,1.3525007612263413,-0.2161890891915294,20068000.000000015
657,5,30,10,45,55,10,3.0,0.5,1.0,1.0,10,50,1.102409598758752,-0.20238643500104653,17395000.000000015
658,5,30,10,45,55,10,3.0,0.5,1.0,1.0,15,50,1.118096002132605,-0.17064631043256984,17225000.000000022
659,5,30,10,45,55,10,3.0,0.5,1.0,1.2,10,50,2.0014135044871755,-0.18417824211484413,31526000.0
660,5,30,10,45,55,10,3.0,0.5,1.0,1.2,15,50,1.8840688874981397,-0.20112272551296928,29539000.0
661,5,30,10,45,55,10,3.0,0.5,1.5,1.0,10,50,0.8760650246305597,-0.23044014808720675,13033000.000000015
662,5,30,10,45,55,10,3.0,0.5,1.5,1.0,15,50,0.7700788121268157,-0.20437531359759142,10971000.000000022
663,5,30,10,45,55,10,3.0,0.5,1.5,1.2,10,50,1.5530150371124738,-0.21411961123367704,23618000.000000007
664,5,30,10,45,55,10,3.0,0.5,1.5,1.2,15,50,1.3887725932840813,-0.21980704863162026,20719000.000000015
665,5,30,10,45,55,10,3.0,1.0,1.0,1.0,10,50,1.1688510230834175,-0.19630153513333595,18609000.000000015
666,5,30,10,45,55,10,3.0,1.0,1.0,1.0,15,50,1.0957719383687912,-0.1791644675409036,16874000.000000022
667,5,30,10,45,55,10,3.0,1.0,1.0,1.2,10,50,2.0358118924352615,-0.18261342871583516,32242000.0
668,5,30,10,45,55,10,3.0,1.0,1.0,1.2,15,50,1.8268712093884887,-0.20381322957198428,28664000.000000015
669,5,30,10,45,55,10,3.0,1.0,1.5,1.0,10,50,0.8871692700155663,-0.2269449637405755,13217000.000000015
670,5,30,10,45,55,10,3.0,1.0,1.5,1.0,15,50,0.7889074318068455,-0.19987190264601082,11275000.000000022
671,5,30,10,45,55,10,3.0,1.0,1.5,1.2,10,50,1.5619731756741428,-0.2135381565906837,23725000.000000007
672,5,30,10,45,55,10,3.0,1.0,1.5,1.2,15,50,1.3679267481831527,-0.22093805660003943,20429000.000000015
673,5,30,10,45,55,14,2.0,0.5,1.0,1.0,10,50,1.211926166332218,-0.16264051662281737,18752000.000000015
674,5,30,10,45,55,14,2.0,0.5,1.0,1.0,15,50,1.2849234877603934,-0.12923354581061347,19517000.000000022
675,5,30,10,45,55,14,2.0,0.5,1.0,1.2,10,50,2.1300584892466,-0.13224015848420048,33075000.0
676,5,30,10,45,55,14,2.0,0.5,1.0,1.2,15,50,1.963991571895442,-0.15612808528718747,30651000.0
677,5,30,10,45,55,14,2.0,0.5,1.5,1.0,10,50,0.8466914798267836,-0.22303834458792388,12024000.000000015
678,5,30,10,45,55,14,2.0,0.5,1.5,1.0,15,50,0.7641881432448233,-0.1862823898648906,10423000.000000022
679,5,30,10,45,55,14,2.0,0.5,1.5,1.2,10,50,1.5560178345260611,-0.20188775111389026,22831999.999999993
680,5,30,10,45,55,14,2.0,0.5,1.5,1.2,15,50,1.3497635611993124,-0.21602128288501316,19726000.000000015
681,5,30,10,45,55,14,2.0,1.0,1.0,1.0,10,50,1.2874776699119121,-0.1482945628637834,20133000.000000015
682,5,30,10,45,55,14,2.0,1.0,1.0,1.0,15,50,1.2293143442031986,-0.13203670993011274,18582000.000000022
683,5,30,10,45,55,14,2.0,1.0,1.0,1.2,10,50,2.156469204327321,-0.1328502415458936,34004000.0
684,5,30,10,45,55,14,2.0,1.0,1.0,1.2,15,50,1.8829183050359295,-0.17820309784078164,29699000.0
685,5,30,10,45,55,14,2.0,1.0,1.5,1.0,10,50,0.8281431350087566,-0.22339121148597857,11724000.000000015
686,5,30,10,45,55,14,2.0,1.0,1.5,1.0,15,50,0.7503960125598392,-0.1862823898648906,10203000.000000022
687,5,30,10,45,55,14,2.0,1.0,1.5,1.2,10,50,1.5426138547181354,-0.20188775111389026,22611999.999999993
688,5,30,10,45,55,14,2.0,1.0,1.5,1.2,15,50,1.3362873965209952,-0.21602128288501316,19506000.000000015
689,5,30,10,45,55,14,3.0,0.5,1.0,1.0,10,50,1.245855799303186,-0.16237808673998738,20041000.000000015
690,5,30,10,45,55,14,3.0,0.5,1.0,1.0,15,50,1.3265272866259554,-0.13237427466150856,21122000.000000022
691,5,30,10,45,55,14,3.0,0.5,1.0,1.2,10,50,2.1152196316713727,-0.1550989677240394,33753000.0
692,5,30,10,45,55,14,3.0,0.5,1.0,1.2,15,50,1.9563691347917236,-0.1740370341432923,31169000.0
693,5,30,10,45,55,14,3.0,0.5,1.5,1.0,10,50,0.8427000617424854,-0.225734703544288,12228000.000000015
694,5,30,10,45,55,14,3.0,0.5,1.5,1.0,15,50,0.7813381176989653,-0.1960284825995385,11003000.000000022
695,5,30,10,45,55,14,3.0,0.5,1.5,1.2,10,50,1.5242669724828333,-0.21281650268247762,22633000.000000007
696,5,30,10,45,55,14,3.0,0.5,1.5,1.2,15,50,1.3346544124332675,-0.22077561777936294,19544000.000000015
697,5,30,10,45,55,14,3.0,1.0,1.0,1.0,10,50,1.31626706810007,-0.14744504415079498,21379000.000000007
698,5,30,10,45,55,14,3.0,1.0,1.0,1.0,15,50,1.2715920652501362,-0.13531592520954208,20144000.000000022
699,5,30,10,45,55,14,3.0,1.0,1.0,1.2,10,50,2.140505410321691,-0.15537296537725892,34639000.0
700,5,30,10,45,55,14,3.0,1.0,1.0,1.2,15,50,1.8736006243771597,-0.196362997109149,30174000.0
701,5,30,10,45,55,14,3.0,1.0,1.5,1.0,10,50,0.8247815800855117,-0.22610722610722594,11928000.000000015
702,5,30,10,45,55,14,3.0,1.0,1.5,1.0,15,50,0.7681806601186764,-0.1960284825995385,10783000.000000022
703,5,30,10,45,55,14,3.0,1.0,1.5,1.2,10,50,1.511074459702685,-0.21281650268247762,22413000.000000007
704,5,30,10,45,55,14,3.0,1.0,1.5,1.2,15,50,1.3212535813721416,-0.22077561777936294,19324000.000000015
705,5,30,10,45,60,10,2.0,0.5,1.0,1.0,10,50,1.344961963640555,-0.14682555340725234,20846000.000000015
706,5,30,10,45,60,10,2.0,0.5,1.0,1.0,15,50,1.2704877974718856,-0.12698565144734048,18975000.000000022
707,5,30,10,45,60,10,2.0,0.5,1.0,1.2,10,50,2.07023865191483,-0.15343821465184118,31400000.0
708,5,30,10,45,60,10,2.0,0.5,1.0,1.2,15,50,2.019986333010409,-0.16681312803270532,30613000.0
709,5,30,10,45,60,10,2.0,0.5,1.5,1.0,10,50,1.0107625600021881,-0.18680573057014893,14852000.000000015
710,5,30,10,45,60,10,2.0,0.5,1.5,1.0,15,50,0.8519859656721931,-0.1637137037904869,11847000.000000022
711,5,30,10,45,60,10,2.0,0.5,1.5,1.2,10,50,1.4819498118367531,-0.19610190782758877,21630000.0
712,5,30,10,45,60,10,2.0,0.5,1.5,1.2,15,50,1.3830124852120589,-0.2023065273948665,20021000.000000015
713,5,30,10,45,60,10,2.0,1.0,1.0,1.0,10,50,1.427820437049979,-0.1305048124140639,22253000.000000015
714,5,30,10,45,60,10,2.0,1.0,1.0,1.0,15,50,1.2575543664258026,-0.12542691584481355,18767000.000000022
715,5,30,10,45,60,10,2.0,1.0,1.0,1.2,10,50,2.071088247802593,-0.1526538372002792,31589000.0
716,5,30,10,45,60,10,2.0,1.0,1.0,1.2,15,50,1.9244769226823057,-0.1692969319970816,29101000.0
717,5,30,10,45,60,10,2.0,1.0,1.5,1.0,10,50,1.017058934085458,-0.18384406516679583,14956000.000000015
718,5,30,10,45,60,10,2.0,1.0,1.5,1.0,15,50,0.8665451353726183,-0.16296761460482645,12071000.000000022
719,5,30,10,45,60,10,2.0,1.0,1.5,1.2,10,50,1.4847332536358804,-0.1958827565924908,21657000.0
720,5,30,10,45,60,10,2.0,1.0,1.5,1.2,15,50,1.3616058533011364,-0.20333294305897032,19731000.000000015
721,5,30,10,45,60,10,3.0,0.5,1.0,1.0,10,50,1.3431706128259133,-0.1479792616653131,21664000.000000015
722,5,30,10,45,60,10,3.0,0.5,1.0,1.0,15,50,1.2417042327390937,-0.13192342305489635,19299000.000000022
