,Date,Time,tickersymbol,Open,Close,High,Low,Volume
2503,2025-03-21,13:00:00,VN30F2504,1374.3,1374.4,1374.4,1373.8,222
2504,2025-03-21,13:05:00,VN30F2504,1374.2,1374.0,1374.6,1373.7,191
2505,2025-03-21,13:10:00,VN30F2504,1373.9,1374.0,1374.4,1373.9,99
2506,2025-03-21,13:15:00,VN30F2504,1373.9,1374.2,1374.3,1373.3,178
2507,2025-03-21,13:20:00,VN30F2504,1374.2,1374.8,1374.8,1374.0,111
2508,2025-03-21,13:25:00,VN30F2504,1374.7,1374.0,1374.9,1373.5,174
2509,2025-03-21,13:30:00,VN30F2504,1373.8,1374.0,1374.5,1373.7,126
2510,2025-03-21,13:35:00,VN30F2504,1374.2,1374.2,1374.4,1373.7,172
2511,2025-03-21,13:40:00,VN30F2504,1374.3,1374.6,1374.6,1373.8,297
2512,2025-03-21,13:45:00,VN30F2504,1374.8,1374.2,1374.8,1373.9,210
2513,2025-03-21,13:50:00,VN30F2504,1374.3,1374.6,1374.7,1373.8,170
2514,2025-03-21,13:55:00,VN30F2504,1374.7,1374.5,1374.8,1374.2,142
2515,2025-03-21,14:00:00,VN30F2504,1374.7,1374.9,1376.4,1374.4,281
2516,2025-03-21,14:05:00,VN30F2504,1375.3,1374.4,1375.3,1374.4,141
2517,2025-03-21,14:10:00,VN30F2504,1374.4,1373.4,1374.4,1373.1,237
2518,2025-03-21,14:15:00,VN30F2504,1373.6,1373.1,1373.9,1372.6,296
2519,2025-03-21,14:20:00,VN30F2504,1373.2,1373.1,1373.4,1372.5,219
2520,2025-03-21,14:25:00,VN30F2504,1373.0,1373.7,1374.2,1372.9,203
2521,2025-03-21,14:30:00,VN30F2504,1373.6,1373.6,1373.6,1373.6,2
2522,2025-03-24,09:00:00,VN30F2504,1376.4,1376.2,1377.1,1376.0,215
2523,2025-03-24,09:05:00,VN30F2504,1376.2,1376.7,1377.0,1376.1,137
2524,2025-03-24,09:10:00,VN30F2504,1376.6,1376.8,1377.0,1376.4,105
2525,2025-03-24,09:15:00,VN30F2504,1376.9,1377.2,1377.2,1376.2,169
2526,2025-03-24,09:20:00,VN30F2504,1377.3,1376.6,1377.4,1376.6,206
2527,2025-03-24,09:25:00,VN30F2504,1376.6,1375.1,1376.8,1375.1,216
2528,2025-03-24,09:30:00,VN30F2504,1375.1,1378.0,1378.0,1374.8,288
2529,2025-03-24,09:35:00,VN30F2504,1377.9,1378.0,1379.1,1377.1,209
2530,2025-03-24,09:40:00,VN30F2504,1377.7,1377.1,1378.3,1377.1,299
2531,2025-03-24,09:45:00,VN30F2504,1376.9,1377.0,1377.0,1376.5,124
2532,2025-03-24,09:50:00,VN30F2504,1376.9,1375.7,1376.9,1375.7,176
2533,2025-03-24,09:55:00,VN30F2504,1375.8,1374.4,1375.8,1374.3,207
2534,2025-03-24,10:00:00,VN30F2504,1374.5,1374.8,1374.8,1374.0,192
2535,2025-03-24,10:05:00,VN30F2504,1374.7,1373.7,1374.7,1373.3,276
2536,2025-03-24,10:10:00,VN30F2504,1373.5,1371.3,1373.6,1371.0,169
2537,2025-03-24,10:15:00,VN30F2504,1370.6,1371.8,1372.0,1370.5,160
2538,2025-03-24,10:20:00,VN30F2504,1371.6,1372.1,1372.5,1371.6,176
2539,2025-03-24,10:25:00,VN30F2504,1372.0,1371.3,1372.4,1371.3,263
2540,2025-03-24,10:30:00,VN30F2504,1371.2,1371.2,1372.0,1370.8,129
2541,2025-03-24,10:35:00,VN30F2504,1371.4,1370.5,1371.7,1370.5,170
2542,2025-03-24,10:40:00,VN30F2504,1370.2,1370.1,1370.2,1367.7,336
2543,2025-03-24,10:45:00,VN30F2504,1370.2,1371.0,1371.1,1369.7,276
2544,2025-03-24,10:50:00,VN30F2504,1371.1,1374.8,1374.8,1371.1,285
2545,2025-03-24,10:55:00,VN30F2504,1374.6,1373.6,1375.3,1373.3,196
2546,2025-03-24,11:00:00,VN30F2504,1373.7,1374.0,1374.7,1373.7,259
2547,2025-03-24,11:05:00,VN30F2504,1374.1,1373.9,1374.1,1373.2,251
2548,2025-03-24,11:10:00,VN30F2504,1373.9,1373.5,1373.9,1373.1,175
2549,2025-03-24,11:15:00,VN30F2504,1373.3,1373.9,1374.5,1373.3,177
2550,2025-03-24,11:20:00,VN30F2504,1373.9,1373.8,1374.4,1373.6,122
2551,2025-03-24,11:25:00,VN30F2504,1373.8,1374.2,1374.4,1373.7,186
2552,2025-03-24,13:00:00,VN30F2504,1374.4,1374.5,1374.7,1373.9,170
2553,2025-03-24,13:05:00,VN30F2504,1374.3,1373.8,1374.5,1373.6,129
2554,2025-03-24,13:10:00,VN30F2504,1374.0,1373.7,1374.1,1373.2,114
2555,2025-03-24,13:15:00,VN30F2504,1373.9,1375.6,1375.8,1373.8,149
2556,2025-03-24,13:20:00,VN30F2504,1375.7,1375.5,1376.4,1375.3,149
2557,2025-03-24,13:25:00,VN30F2504,1375.8,1377.3,1377.7,1375.6,194
2558,2025-03-24,13:30:00,VN30F2504,1377.5,1378.0,1378.0,1377.3,148
2559,2025-03-24,13:35:00,VN30F2504,1378.0,1377.3,1378.1,1377.2,249
2560,2025-03-24,13:40:00,VN30F2504,1377.6,1378.1,1378.3,1377.2,223
2561,2025-03-24,13:45:00,VN30F2504,1378.0,1376.9,1378.3,1376.4,181
