Minute,tickersymbol,High,Low,Close,Volume,Open
2022-12-14 09:20,VN30F2306,1048.80,1032.00,1038.60,31,1038.60
2022-12-14 09:21,VN30F2212,1071.30,1048.50,1059.60,26104,1059.60
2022-12-14 09:21,VN30F2301,1068.00,1049.20,1059.00,1364,1059.00
2022-12-14 09:22,VN30F2212,1071.30,1048.50,1059.60,26912,1059.60
2022-12-14 09:22,VN30F2301,1068.00,1049.20,1059.00,1390,1059.00
2022-12-14 09:23,VN30F2212,1071.30,1048.50,1059.60,27259,1059.60
2022-12-14 09:23,VN30F2301,1068.00,1049.20,1059.00,1411,1059.00
2022-12-14 09:24,VN30F2212,1071.30,1048.50,1059.60,28205,1059.60
2022-12-14 09:24,VN30F2301,1068.00,1049.20,1059.00,1428,1059.00
2022-12-14 09:24,VN30F2306,1048.80,1032.00,1038.60,32,1038.60
2022-12-14 09:25,VN30F2212,1071.30,1048.50,1059.60,28830,1059.60
2022-12-14 09:25,VN30F2301,1068.00,1049.20,1059.00,1464,1059.00
2022-12-14 09:25,VN30F2303,1055.10,1041.00,1047.30,43,1047.30
2022-12-14 09:26,VN30F2212,1071.30,1048.50,1059.60,29292,1059.60
2022-12-14 09:26,VN30F2301,1068.00,1049.20,1059.00,1473,1059.00
2022-12-14 09:27,VN30F2212,1071.30,1048.50,1059.60,29994,1059.60
2022-12-14 09:27,VN30F2301,1068.00,1049.20,1059.00,1481,1059.00
2022-12-14 09:28,VN30F2212,1071.30,1048.50,1059.60,30318,1059.60
2022-12-14 09:28,VN30F2301,1068.00,1049.20,1059.00,1495,1059.00
2022-12-14 09:29,VN30F2212,1071.30,1048.50,1059.60,32245,1059.60
2022-12-14 09:29,VN30F2301,1068.00,1049.20,1059.00,1559,1059.00
2022-12-14 09:30,VN30F2212,1071.30,1048.50,1059.60,33181,1059.60
2022-12-14 09:30,VN30F2301,1068.00,1049.20,1059.00,1577,1059.00
2022-12-14 09:31,VN30F2212,1071.30,1048.50,1059.60,33663,1059.60
2022-12-14 09:31,VN30F2301,1068.00,1049.20,1059.00,1589,1059.00
2022-12-14 09:32,VN30F2212,1071.30,1048.50,1059.60,34955,1059.60
2022-12-14 09:32,VN30F2301,1068.00,1049.20,1059.00,1606,1059.00
2022-12-14 09:32,VN30F2303,1055.10,1041.00,1047.30,45,1047.30
2022-12-14 09:33,VN30F2212,1071.30,1048.50,1059.60,36019,1059.60
2022-12-14 09:33,VN30F2301,1068.00,1049.20,1059.00,1649,1059.00
2022-12-14 09:33,VN30F2303,1055.10,1041.00,1047.30,46,1047.30
2022-12-14 09:34,VN30F2212,1071.30,1048.50,1059.60,37390,1059.60
2022-12-14 09:34,VN30F2301,1068.00,1049.20,1059.00,1675,1059.00
2022-12-14 09:34,VN30F2303,1055.10,1041.00,1047.30,47,1047.30
2022-12-14 09:34,VN30F2306,1048.80,1032.00,1038.60,33,1038.60
2022-12-14 09:35,VN30F2212,1071.30,1048.50,1059.60,38079,1059.60
2022-12-14 09:35,VN30F2301,1068.00,1049.20,1059.00,1696,1059.00
2022-12-14 09:35,VN30F2306,1048.80,1032.00,1038.60,34,1038.60
2022-12-14 09:36,VN30F2212,1071.30,1048.50,1059.60,38478,1059.60
2022-12-14 09:36,VN30F2301,1068.00,1049.20,1059.00,1711,1059.00
2022-12-14 09:36,VN30F2303,1055.10,1041.00,1047.30,49,1047.30
2022-12-14 09:36,VN30F2306,1048.80,1032.00,1038.60,37,1038.60
2022-12-14 09:37,VN30F2212,1071.30,1048.50,1059.60,39314,1059.60
2022-12-14 09:37,VN30F2301,1068.00,1049.20,1059.00,1732,1059.00
2022-12-14 09:38,VN30F2212,1071.30,1048.50,1059.60,40279,1059.60
2022-12-14 09:38,VN30F2301,1068.00,1049.20,1059.00,1752,1059.00
2022-12-14 09:39,VN30F2212,1071.30,1048.50,1059.60,41864,1059.60
2022-12-14 09:39,VN30F2301,1068.00,1049.20,1059.00,1819,1059.00
2022-12-14 09:39,VN30F2303,1055.10,1041.00,1047.30,52,1047.30
2022-12-14 09:40,VN30F2212,1071.30,1048.50,1059.60,43059,1059.60
2022-12-14 09:40,VN30F2301,1068.00,1049.20,1059.00,1907,1059.00
2022-12-14 09:40,VN30F2306,1048.80,1032.00,1038.60,38,1038.60
2022-12-14 09:41,VN30F2212,1071.30,1048.50,1059.60,43706,1059.60
2022-12-14 09:41,VN30F2301,1068.00,1049.20,1059.00,1918,1059.00
2022-12-14 09:42,VN30F2212,1071.30,1048.50,1059.60,44782,1059.60
2022-12-14 09:42,VN30F2301,1068.00,1049.20,1059.00,1953,1059.00
2022-12-14 09:43,VN30F2212,1071.30,1048.50,1059.60,45514,1059.60
2022-12-14 09:43,VN30F2301,1068.00,1049.20,1059.00,1988,1059.00
2022-12-14 09:44,VN30F2212,1071.30,1048.50,1059.60,45833,1059.60
2022-12-14 09:44,VN30F2301,1068.00,1049.20,1059.00,1990,1059.00
2022-12-14 09:45,VN30F2212,1071.30,1048.50,1059.60,46872,1059.60
2022-12-14 09:45,VN30F2301,1068.00,1049.20,1059.00,2017,1059.00
2022-12-14 09:46,VN30F2212,1071.30,1048.50,1059.60,48135,1059.60
2022-12-14 09:46,VN30F2301,1068.00,1049.20,1059.00,2034,1059.00
2022-12-14 09:47,VN30F2212,1071.30,1048.50,1059.60,50187,1059.60
2022-12-14 09:47,VN30F2301,1068.00,1049.20,1059.00,2114,1059.00
2022-12-14 09:48,VN30F2212,1071.30,1048.50,1059.60,51118,1059.60
2022-12-14 09:48,VN30F2301,1068.00,1049.20,1059.00,2132,1059.00
2022-12-14 09:48,VN30F2303,1055.10,1041.00,1047.30,53,1047.30
2022-12-14 09:49,VN30F2212,1071.30,1048.50,1059.60,51630,1059.60
2022-12-14 09:49,VN30F2301,1068.00,1049.20,1059.00,2165,1059.00
2022-12-14 09:49,VN30F2303,1055.10,1041.00,1047.30,56,1047.30
2022-12-14 09:50,VN30F2212,1071.30,1048.50,1059.60,53576,1059.60
2022-12-14 09:50,VN30F2301,1068.00,1049.20,1059.00,2194,1059.00
2022-12-14 09:50,VN30F2303,1055.10,1041.00,1047.30,61,1047.30
2022-12-14 09:50,VN30F2306,1048.80,1032.00,1038.60,40,1038.60
2022-12-14 09:51,VN30F2212,1071.30,1048.50,1059.60,55938,1059.60
2022-12-14 09:51,VN30F2301,1068.00,1049.20,1059.00,2251,1059.00
2022-12-14 09:52,VN30F2212,1071.30,1048.50,1059.60,57420,1059.60
2022-12-14 09:52,VN30F2301,1068.00,1049.20,1059.00,2284,1059.00
2022-12-14 09:53,VN30F2212,1071.30,1048.50,1059.60,58528,1059.60
2022-12-14 09:53,VN30F2301,1068.00,1049.20,1059.00,2308,1059.00
2022-12-14 09:54,VN30F2212,1071.30,1048.50,1059.60,59285,1059.60
2022-12-14 09:54,VN30F2301,1068.00,1049.20,1059.00,2332,1059.00
2022-12-14 09:54,VN30F2306,1048.80,1032.00,1038.60,42,1038.60
2022-12-14 09:55,VN30F2212,1071.30,1048.50,1059.60,61159,1059.60
2022-12-14 09:55,VN30F2301,1068.00,1049.20,1059.00,2367,1059.00
2022-12-14 09:56,VN30F2212,1071.30,1048.50,1059.60,62294,1059.60
