SampleIndex,EMA_Short,EMA_Long,RSI_Period,RSI_lower,RSI_upper,ATR_period,Max_Loss,Min_Profit,ATR_Mult,Volume_Threshold,Volume_window,RSI_exit_threshold,Sharpe,mdd,net_profit
1380,12,40,18,25,55,21,2.0,2.0,2.0,1.2,10,55,1.1371101721016255,-0.22167700078019142,14324000.0
1381,10,35,10,40,70,10,2.5,0.5,1.0,1.0,10,45,1.6826953379894123,-0.09973077178754233,23116000.000000015
1382,15,35,14,45,50,10,3.0,0.5,1.5,1.2,15,55,0.9155044143658909,-0.1695404013284807,11977999.999999985
1383,10,40,18,35,70,21,3.5,1.0,1.0,1.4,15,45,1.3515189818689,-0.09317366953342864,14521000.000000007
1384,12,20,10,35,60,21,4.0,1.0,1.0,1.2,15,45,1.7919262630237915,-0.06427287334743943,24117999.999999985
1385,5,25,10,25,70,10,2.0,0.5,1.5,1.0,10,45,1.3913524637611505,-0.12766477606102114,17698000.000000007
1386,8,40,10,30,55,10,2.0,1.5,1.5,1.2,20,45,1.392915247364877,-0.12539575747981627,18103000.0
1387,8,30,18,35,55,21,4.0,0.5,2.0,1.2,5,45,0.9005215731272446,-0.21933906118120622,12667999.99999997
1388,8,20,18,35,50,21,3.5,0.5,2.0,1.4,5,55,0.06680832895946835,-0.21802624806999485,255999.99999999255
1389,8,35,10,35,60,21,4.5,1.0,2.0,1.0,5,50,1.1396943926191303,-0.14353022762503048,17151999.999999978
1390,15,25,18,40,50,10,2.0,0.5,2.0,1.2,5,50,0.49885164865142667,-0.23318533135997366,5997999.999999985
1391,12,35,10,45,65,21,3.5,2.0,2.0,1.2,20,50,1.2774758595669755,-0.14245782563335352,17661000.0
1392,10,40,10,40,65,10,1.5,1.0,1.0,1.2,20,50,1.4089119578733942,-0.1283146759782272,17470000.0
1393,5,35,10,25,50,14,1.5,0.5,2.0,1.4,20,50,1.2128564637052077,-0.20238925890686102,15037999.999999985
1394,15,40,10,35,60,14,3.0,1.0,2.0,1.0,10,50,0.9481354080177055,-0.16476531942633627,13300000.0
1395,10,25,10,45,55,21,4.5,2.0,1.5,1.2,10,55,1.4084434134312562,-0.15099297893681027,21203999.999999985
1396,5,20,18,25,60,21,4.0,0.5,1.5,1.0,20,55,1.4041376584884475,-0.10990277026201407,19185000.0
1397,15,25,10,35,65,21,4.0,1.5,1.5,1.2,5,50,0.8402877869740114,-0.1431219571815608,10692999.999999978
1398,5,30,18,45,50,10,3.5,1.0,1.5,0.8,20,50,0.5198309701894435,-0.24381648084070284,6946999.999999963
1399,15,30,10,35,70,21,2.0,1.5,1.5,1.0,20,50,0.7069125572091921,-0.15781839280533783,8957000.000000015
1400,5,35,18,40,60,14,2.0,2.0,1.0,0.8,20,50,1.4251694811999038,-0.11451766953199642,20402999.999999985
1401,5,20,14,45,65,14,3.5,2.0,1.5,1.2,15,45,1.332823025362988,-0.0985020175778014,18049999.999999978
1402,15,25,14,45,70,10,3.5,0.5,2.0,1.0,20,45,1.217945690224545,-0.10562114741744064,15991000.000000015
1403,5,35,18,30,55,14,3.0,1.0,1.0,1.0,5,45,1.0641697477544145,-0.18513389766153712,15034999.999999985
1404,10,25,18,40,65,21,3.0,2.0,2.0,1.0,10,45,1.2112977654503172,-0.09813898375967126,16289999.999999993
1405,8,25,10,45,70,14,1.5,2.0,2.0,1.2,5,50,0.30514077728397937,-0.20400940754843735,3240000.0
1406,10,25,10,40,60,10,4.0,0.5,1.5,1.0,15,50,0.939899582865245,-0.15288681867698461,13115999.999999985
1407,12,40,14,45,55,14,4.0,0.5,1.0,1.4,20,45,1.779090913269043,-0.07405434991641885,22593000.00000003
1408,8,30,14,35,55,21,3.0,1.5,2.0,1.4,5,55,0.25591175069955596,-0.2387057128326835,2622999.999999985
1409,12,40,10,25,70,10,3.0,1.0,1.0,1.2,15,55,2.031384806852579,-0.09468691086740574,24549000.0
1410,5,35,18,45,55,10,2.5,2.0,1.0,0.8,20,55,1.1902251086932163,-0.1691575106676835,19057999.999999963
1411,10,40,18,40,65,10,1.5,2.0,1.5,1.4,5,50,0.4396953113252862,-0.16133979925566708,4643999.999999985
1412,12,25,10,25,70,10,4.0,2.0,2.0,0.8,10,55,1.373581086996342,-0.10507314569253165,18899000.000000015
1413,15,40,10,40,50,10,5.0,1.0,1.5,1.4,15,45,0.755187297383698,-0.13894953396590798,9018000.0
1414,8,25,10,35,60,10,3.0,0.5,2.0,0.8,15,55,0.8297095921138893,-0.1441713440457132,11657999.999999985
